Datacenter_location_input,Network_zone_Input,Environment_input,application_input,Vcenter,Vmware_datacenter,Vmware_cluster,Vmware_datastore_name,Vmware_networks,Subnet_name,Vlan,Subnet_address,Subnet_gateway,Subnet_netmask,DNS1,DNS2,DNS_Suffix,Vm_name,Vm_template,Vcenter_folder,Vm_cpu,Vm_mem,disk_size
DC1B,Z1A,Stage,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-PRODCLU1,XF_PRIMERA_NONPROD_00[1-9],DEV-VLAN-0106,XF-Z1A-STG-APP-47.0-24,VLAN 106,10.17.47.0/24,10.17.47.1,255.225.255.0,10.17.106.6,10.16.7.13,xe.abb.com,Xf-s-aapwin06t,WIN2019-GOLD,POC-Ansible-automation-platform,4,2048,200
DC1B,IDZ,stage,AP/BG/FS/VR/NW/SE/FT/MS/LN/BK/CA,xf-s-vcsap01p.xe.abb.com,XF-COMP,XF-PRODCLU1,XF_PRIMERA_NONPROD_003,TEST-VLAN-0504,XF-IDZ-STG-APP-168.0-27,VLAN 3032,10.17.113.0/24,10.17.113.1,255.255.255.0,10.16.7.12,10.16.7.13,xe.abb.com,Xf-s-aapwin05t,WIN2019-GOLD,POC-Ansible-automation-platform,2,1024,120
